Tamanho_Bytes,NP_4_us,NP_8_us,NP_16_us
1,1268.70,17225.31,3189.71
16,1157.63,19616.45,3228.87
256,1198.95,16357.41,3211.98
1024,1331.32,15481.06,3111.73
4096,1508.51,19259.83,3239.29
65536,3876.52,25341.15,9270.27
1048576,20021.94,43703.31,48089.79
